complaint_id,ward_id,date,category,status,resolution_time_hours
C00044,W01,2026-06-13,electricity,in_progress,28.7
C00045,W01,2026-06-13,public safety,in_progress,46.4
C00046,W01,2026-06-13,water,open,44.6
C00047,W01,2026-06-14,noise,closed,26.8
C00048,W01,2026-06-14,roads,closed,59.1
C00049,W01,2026-06-14,noise,closed,20.2
C00050,W01,2026-06-14,electricity,closed,39.3
C00051,W01,2026-06-14,roads,closed,47.9
C00052,W01,2026-06-14,electricity,open,21.8
C00053,W01,2026-06-14,sanitation,in_progress,25.6
C00054,W01,2026-06-14,noise,open,61.8
C00055,W01,2026-06-14,sanitation,open,45.2
C00056,W01,2026-06-14,public safety,in_progress,50.6
C00057,W01,2026-06-14,electricity,open,4.0
C00058,W01,2026-06-14,roads,closed,17.5
C00059,W01,2026-06-15,noise,closed,45.2
C00060,W01,2026-06-15,roads,closed,24.4
C00061,W01,2026-06-15,public safety,closed,38.7
C00062,W01,2026-06-15,public safety,closed,46.5
C00063,W01,2026-06-15,noise,in_progress,47.4
C00064,W01,2026-06-15,roads,open,26.0
C00065,W01,2026-06-15,sanitation,in_progress,52.6
C00066,W01,2026-06-15,electricity,open,37.3
C00067,W01,2026-06-15,sanitation,open,33.7
C00068,W01,2026-06-16,sanitation,open,38.4
C00069,W01,2026-06-16,roads,in_progress,30.9
C00070,W01,2026-06-16,public safety,in_progress,36.7
C00071,W01,2026-06-16,electricity,closed,42.3
C00072,W01,2026-06-16,water,open,40.5
C00073,W01,2026-06-16,roads,open,10.2
C00074,W01,2026-06-16,sanitation,closed,21.7
C00075,W01,2026-06-17,water,closed,54.2
C00076,W01,2026-06-17,public safety,open,41.8
C00077,W01,2026-06-17,sanitation,in_progress,31.6
C00078,W01,2026-06-17,sanitation,open,10.1
C00079,W01,2026-06-17,roads,open,27.5
C00080,W01,2026-06-17,roads,in_progress,33.3
C00081,W01,2026-06-17,water,open,38.9
C00082,W01,2026-06-17,electricity,open,31.1
C00083,W01,2026-06-17,sanitation,closed,61.6
C00084,W01,2026-06-18,sanitation,open,43.1
C00085,W01,2026-06-18,roads,in_progress,49.0
C00086,W01,2026-06-18,sanitation,open,5.5
C00087,W01,2026-06-18,noise,in_progress,63.0
C00088,W01,2026-06-18,noise,in_progress,27.5
C00089,W01,2026-06-18,electricity,closed,13.6
C00090,W01,2026-06-18,public safety,in_progress,41.6
C00091,W01,2026-06-18,sanitation,closed,44.7
C00092,W01,2026-06-19,noise,open,30.1
C00093,W01,2026-06-19,sanitation,closed,4.0
C00094,W01,2026-06-19,electricity,open,39.6
C00095,W01,2026-06-19,sanitation,closed,42.9
C00096,W01,2026-06-19,electricity,open,39.3
C00097,W01,2026-06-19,public safety,open,7.5
C00098,W01,2026-06-19,electricity,open,54.0
C00099,W01,2026-06-19,electricity,closed,40.6
C00100,W01,2026-06-20,public safety,closed,23.8
C00101,W01,2026-06-20,noise,open,30.1
C00102,W01,2026-06-20,public safety,closed,30.7
C00103,W01,2026-06-20,roads,closed,45.1
C00104,W01,2026-06-20,public safety,in_progress,4.0
C00105,W01,2026-06-20,sanitation,open,43.6
C00106,W01,2026-06-20,water,closed,81.6
C00107,W01,2026-06-20,sanitation,closed,34.5
C00108,W01,2026-06-20,roads,closed,31.9
C00109,W01,2026-06-21,sanitation,open,29.4
C00110,W01,2026-06-21,electricity,closed,41.0
C00111,W01,2026-06-21,noise,closed,60.3
C00112,W01,2026-06-21,electricity,open,32.4
C00113,W01,2026-06-21,public safety,closed,28.7
C00114,W01,2026-06-21,roads,in_progress,54.7
C00115,W01,2026-06-21,sanitation,open,34.6
C00116,W01,2026-06-21,noise,closed,26.9
C00117,W01,2026-06-21,roads,closed,23.2
C00118,W01,2026-06-21,noise,closed,52.8
C00119,W01,2026-06-21,water,in_progress,57.4
C00120,W01,2026-06-21,sanitation,closed,19.8
C00121,W01,2026-06-21,water,in_progress,47.1
C00122,W01,2026-06-21,roads,closed,38.4
C00123,W01,2026-06-22,water,closed,33.9
C00124,W01,2026-06-22,public safety,in_progress,28.7
C00125,W01,2026-06-22,public safety,open,32.5
C00126,W01,2026-06-22,electricity,open,44.4
C00127,W01,2026-06-22,roads,in_progress,19.0
C00128,W01,2026-06-22,roads,open,24.3
C00129,W01,2026-06-22,sanitation,in_progress,63.0
C00130,W01,2026-06-22,roads,closed,35.0
C00131,W01,2026-06-22,electricity,in_progress,41.5
C00132,W01,2026-06-22,electricity,closed,53.2
C00133,W01,2026-06-23,roads,open,37.3
C00134,W01,2026-06-23,public safety,in_progress,32.9
C00135,W01,2026-06-23,water,closed,51.8
C00136,W01,2026-06-23,noise,open,15.7
C00137,W01,2026-06-23,public safety,open,32.1
C00138,W01,2026-06-23,water,open,37.6
C00139,W01,2026-06-23,roads,in_progress,19.8
C00140,W01,2026-06-23,roads,open,56.0
C00141,W01,2026-06-23,sanitation,closed,39.4
C00142,W01,2026-06-23,sanitation,in_progress,46.7
C00143,W01,2026-06-23,noise,closed,13.9
C00144,W01,2026-06-23,electricity,in_progress,33.8
C00145,W01,2026-06-23,sanitation,open,42.8
C00146,W01,2026-06-24,electricity,in_progress,53.3
C00147,W01,2026-06-24,noise,closed,39.5
C00148,W01,2026-06-24,noise,in_progress,21.8
C00149,W01,2026-06-24,water,closed,24.6
C00150,W01,2026-06-24,roads,in_progress,49.4
C00151,W01,2026-06-24,electricity,closed,39.1
C00152,W01,2026-06-24,public safety,closed,56.3
C00153,W01,2026-06-24,roads,in_progress,26.6
C00154,W01,2026-06-25,noise,closed,49.3
C00155,W01,2026-06-25,noise,closed,47.9
C00156,W01,2026-06-25,noise,closed,16.8
C00157,W01,2026-06-25,noise,closed,23.1
C00158,W01,2026-06-26,noise,closed,45.2
C00159,W01,2026-06-26,water,closed,45.5
C00160,W01,2026-06-26,public safety,open,26.1
C00161,W01,2026-06-26,electricity,open,27.1
C00162,W01,2026-06-26,noise,in_progress,41.1
C00163,W01,2026-06-26,electricity,closed,58.8
C00164,W01,2026-06-26,noise,in_progress,15.4
C00165,W01,2026-06-26,electricity,in_progress,42.5
C00166,W01,2026-06-26,public safety,open,28.8
C00167,W01,2026-06-26,public safety,closed,25.4
C00168,W01,2026-06-27,roads,closed,30.8
C00169,W01,2026-06-27,noise,open,37.8
C00170,W01,2026-06-27,sanitation,open,27.6
C00171,W01,2026-06-27,water,closed,38.2
C00172,W01,2026-06-27,water,closed,30.6
C00173,W01,2026-06-27,electricity,open,32.3
C00174,W01,2026-06-27,water,open,21.5
C00175,W01,2026-06-27,roads,closed,23.7
C00176,W01,2026-06-28,sanitation,in_progress,39.9
C00177,W01,2026-06-28,public safety,closed,59.8
C00178,W01,2026-06-28,water,open,5.7
C00179,W01,2026-06-28,sanitation,in_progress,24.0
C00180,W01,2026-06-28,roads,in_progress,14.4
C00181,W01,2026-06-29,electricity,in_progress,63.1
C00182,W01,2026-06-29,electricity,closed,25.9
C00183,W01,2026-06-29,electricity,in_progress,43.6
C00184,W01,2026-06-29,roads,closed,19.6
C00185,W01,2026-06-30,roads,closed,23.3
C00186,W01,2026-06-30,noise,closed,24.7
C00187,W01,2026-06-30,water,open,36.0
C00188,W01,2026-06-30,public safety,in_progress,36.2
C00189,W01,2026-06-30,electricity,open,47.6
C00190,W01,2026-06-30,roads,open,37.5
C00191,W01,2026-06-30,public safety,open,56.4
C00192,W01,2026-06-30,sanitation,in_progress,20.4
C00193,W01,2026-06-30,water,open,44.6
C00194,W01,2026-06-30,roads,in_progress,16.6
C00195,W01,2026-06-30,public safety,open,50.4
C00196,W01,2026-07-01,water,in_progress,16.3
C00197,W01,2026-07-01,sanitation,in_progress,30.8
C00198,W01,2026-07-01,water,closed,48.3
C00199,W01,2026-07-01,public safety,closed,16.8
C00200,W01,2026-07-01,roads,in_progress,29.6
C00201,W01,2026-07-01,roads,in_progress,31.9
C00202,W01,2026-07-01,noise,closed,36.3
C00203,W01,2026-07-01,public safety,in_progress,30.7
C00204,W01,2026-07-01,roads,closed,8.5
C00205,W01,2026-07-01,electricity,open,50.6
C00206,W01,2026-07-01,public safety,open,24.7
C00207,W01,2026-07-01,sanitation,closed,9.7
C00208,W01,2026-07-02,roads,open,34.2
C00209,W01,2026-07-02,water,in_progress,47.4
C00210,W01,2026-07-02,noise,in_progress,28.9
C00211,W01,2026-07-02,water,in_progress,68.9
C00212,W01,2026-07-02,sanitation,in_progress,52.3
C00213,W01,2026-07-02,noise,open,37.1
C00214,W01,2026-07-02,public safety,open,39.0
C00215,W01,2026-07-02,sanitation,open,15.1
C00216,W01,2026-07-02,roads,open,27.5
C00217,W01,2026-07-02,water,closed,27.9
C00218,W01,2026-07-02,sanitation,closed,49.8
C00219,W01,2026-07-03,noise,in_progress,44.5
C00220,W01,2026-07-03,public safety,closed,51.6
C00221,W01,2026-07-03,sanitation,open,41.5
C00222,W01,2026-07-03,sanitation,in_progress,33.5
C00223,W01,2026-07-03,electricity,closed,46.4
C00224,W01,2026-07-03,public safety,open,27.6
C00225,W01,2026-07-03,sanitation,closed,27.8
C00226,W01,2026-07-03,sanitation,closed,16.7
C00227,W01,2026-07-03,noise,closed,29.3
C00228,W01,2026-07-04,electricity,open,26.5
C00229,W01,2026-07-04,noise,open,47.1
C00230,W01,2026-07-04,electricity,closed,20.2
C00231,W01,2026-07-04,water,open,57.9
C00232,W01,2026-07-04,water,in_progress,17.7
C00233,W01,2026-07-04,public safety,open,15.2
C00234,W01,2026-07-04,water,open,31.3
C00235,W01,2026-07-04,noise,closed,4.0
C00236,W01,2026-07-04,electricity,in_progress,9.5
C00237,W01,2026-07-05,electricity,in_progress,30.4
C00238,W01,2026-07-05,sanitation,in_progress,44.4
C00239,W01,2026-07-05,water,open,35.1
C00240,W01,2026-07-05,public safety,in_progress,16.8
C00241,W01,2026-07-05,noise,open,22.6
C00242,W01,2026-07-05,water,open,35.4
C00243,W01,2026-07-05,noise,in_progress,19.5
C00244,W01,2026-07-05,public safety,in_progress,59.3
C00245,W01,2026-07-05,electricity,open,25.9
C00246,W01,2026-07-05,roads,closed,34.0
C00247,W01,2026-07-05,water,in_progress,25.2
C00248,W02,2026-06-08,water,closed,31.4
C00249,W02,2026-06-08,sanitation,open,20.2
C00250,W02,2026-06-08,noise,open,26.4
C00251,W02,2026-06-08,public safety,closed,40.9
C00252,W02,2026-06-08,noise,in_progress,22.9
C00253,W02,2026-06-08,public safety,closed,30.8
C00254,W02,2026-06-08,noise,in_progress,31.8
C00255,W02,2026-06-08,noise,open,24.4
C00256,W02,2026-06-08,sanitation,closed,37.5
C00257,W02,2026-06-08,electricity,closed,41.6
C00258,W02,2026-06-09,water,in_progress,44.0
C00259,W02,2026-06-09,public safety,closed,51.9
C00260,W02,2026-06-09,noise,open,32.5
C00261,W02,2026-06-09,roads,in_progress,36.2
C00262,W02,2026-06-09,sanitation,closed,43.7
C00263,W02,2026-06-09,electricity,open,29.2
C00264,W02,2026-06-09,electricity,in_progress,72.4
C00265,W02,2026-06-09,public safety,open,19.8
C00266,W02,2026-06-09,sanitation,open,17.2
C00267,W02,2026-06-09,electricity,in_progress,20.2
C00268,W02,2026-06-09,roads,open,37.9
C00269,W02,2026-06-10,sanitation,open,62.8
C00270,W02,2026-06-10,water,in_progress,52.6
C00271,W02,2026-06-10,sanitation,open,43.9
C00272,W02,2026-06-10,roads,closed,40.6
C00273,W02,2026-06-10,roads,open,33.1
C00274,W02,2026-06-10,electricity,in_progress,15.6
C00275,W02,2026-06-10,roads,closed,19.7
C00276,W02,2026-06-10,water,in_progress,44.9
C00277,W02,2026-06-10,electricity,in_progress,28.6
C00278,W02,2026-06-10,noise,closed,21.1
C00279,W02,2026-06-10,public safety,open,21.8
C00280,W02,2026-06-11,roads,in_progress,31.9
C00281,W02,2026-06-11,public safety,open,39.8
C00282,W02,2026-06-11,sanitation,open,42.2
C00283,W02,2026-06-11,sanitation,in_progress,17.1
C00284,W02,2026-06-11,noise,open,40.8
C00285,W02,2026-06-11,roads,in_progress,29.2
C00286,W02,2026-06-11,water,open,14.0
C00287,W02,2026-06-11,public safety,open,56.9
C00288,W02,2026-06-11,public safety,closed,23.7
C00289,W02,2026-06-11,public safety,open,19.3
C00290,W02,2026-06-11,public safety,open,43.0
C00291,W02,2026-06-11,noise,open,42.6
C00292,W02,2026-06-12,noise,closed,34.9
C00293,W02,2026-06-12,noise,in_progress,16.8
C00294,W02,2026-06-12,sanitation,in_progress,26.8
C00295,W02,2026-06-12,noise,closed,14.9
C00296,W02,2026-06-12,electricity,in_progress,17.5
C00297,W02,2026-06-12,water,closed,42.2
C00298,W02,2026-06-12,noise,closed,35.0
C00299,W02,2026-06-12,public safety,closed,41.1
C00300,W02,2026-06-12,electricity,open,55.9
C00301,W02,2026-06-12,noise,closed,34.9
C00302,W02,2026-06-12,sanitation,open,15.0
C00303,W02,2026-06-12,noise,open,38.7
C00304,W02,2026-06-13,water,open,34.7
C00305,W02,2026-06-13,water,in_progress,24.7
C00306,W02,2026-06-13,sanitation,open,41.7
C00307,W02,2026-06-13,noise,in_progress,31.0
C00308,W02,2026-06-13,water,closed,24.2
C00309,W02,2026-06-13,sanitation,in_progress,44.1
C00310,W02,2026-06-13,sanitation,in_progress,40.6
C00311,W02,2026-06-13,electricity,open,25.4
C00312,W02,2026-06-13,water,open,20.4
C00313,W02,2026-06-13,roads,closed,19.8
C00314,W02,2026-06-13,public safety,in_progress,53.0
C00315,W02,2026-06-13,sanitation,open,34.2
C00316,W02,2026-06-13,noise,in_progress,42.4
C00317,W02,2026-06-14,sanitation,closed,24.0
C00318,W02,2026-06-14,electricity,open,32.0
C00319,W02,2026-06-14,sanitation,closed,23.3
C00320,W02,2026-06-14,water,open,39.3
C00321,W02,2026-06-14,sanitation,in_progress,61.5
C00322,W02,2026-06-14,sanitation,closed,43.1
C00323,W02,2026-06-14,public safety,in_progress,20.7
C00324,W02,2026-06-14,electricity,closed,31.1
C00325,W02,2026-06-14,water,open,61.3
C00326,W02,2026-06-14,water,closed,40.6
C00327,W02,2026-06-14,electricity,closed,42.2
C00328,W02,2026-06-14,public safety,open,42.4
C00329,W02,2026-06-14,water,in_progress,26.5
C00330,W02,2026-06-15,sanitation,in_progress,28.3
C00331,W02,2026-06-15,public safety,in_progress,44.6
C00332,W02,2026-06-15,public safety,in_progress,19.3
C00333,W02,2026-06-15,roads,in_progress,22.5
C00334,W02,2026-06-15,electricity,closed,31.9
C00335,W02,2026-06-15,water,in_progress,60.8
C00336,W02,2026-06-15,public safety,open,23.4
C00337,W02,2026-06-15,electricity,in_progress,37.5
C00338,W02,2026-06-15,sanitation,in_progress,59.1
C00339,W02,2026-06-15,public safety,in_progress,27.9
C00340,W02,2026-06-15,water,closed,10.4
C00341,W02,2026-06-15,public safety,open,31.2
C00342,W02,2026-06-15,electricity,closed,35.1
C00343,W02,2026-06-15,noise,open,45.6
C00344,W02,2026-06-16,electricity,in_progress,42.8
C00345,W02,2026-06-16,public safety,open,35.8
C00346,W02,2026-06-16,sanitation,in_progress,37.2
C00347,W02,2026-06-16,electricity,closed,24.2
C00348,W02,2026-06-16,water,closed,45.9
C00349,W02,2026-06-16,public safety,closed,41.0
C00350,W02,2026-06-16,water,in_progress,14.5
C00351,W02,2026-06-16,water,closed,14.1
C00352,W02,2026-06-16,sanitation,closed,53.0
C00353,W02,2026-06-16,noise,open,43.2
C00354,W02,2026-06-17,sanitation,closed,20.1
C00355,W02,2026-06-17,public safety,open,14.8
C00356,W02,2026-06-17,sanitation,open,42.5
C00357,W02,2026-06-17,noise,open,31.3
C00358,W02,2026-06-17,roads,open,48.1
C00359,W02,2026-06-17,electricity,in_progress,12.3
C00360,W02,2026-06-17,roads,open,25.0
C00361,W02,2026-06-17,sanitation,closed,48.4
C00362,W02,2026-06-17,roads,in_progress,20.9
C00363,W02,2026-06-17,electricity,open,37.2
C00364,W02,2026-06-17,water,in_progress,54.8
C00365,W02,2026-06-18,water,in_progress,9.0
C00366,W02,2026-06-18,public safety,closed,43.3
C00367,W02,2026-06-18,noise,closed,47.7
C00368,W02,2026-06-18,noise,closed,55.8
C00369,W02,2026-06-18,water,in_progress,29.9
C00370,W02,2026-06-18,roads,in_progress,39.0
C00371,W02,2026-06-18,water,closed,29.7
C00372,W02,2026-06-18,noise,closed,28.8
C00373,W02,2026-06-18,sanitation,closed,55.8
C00374,W02,2026-06-19,public safety,closed,36.1
C00375,W02,2026-06-19,sanitation,closed,34.2
C00376,W02,2026-06-19,noise,open,8.5
C00377,W02,2026-06-19,electricity,in_progress,36.8
C00378,W02,2026-06-19,noise,closed,43.9
C00379,W02,2026-06-19,public safety,closed,31.8
C00380,W02,2026-06-19,sanitation,closed,28.1
C00381,W02,2026-06-19,public safety,open,29.5
C00382,W02,2026-06-19,electricity,in_progress,49.1
C00383,W02,2026-06-19,public safety,open,44.9
C00384,W02,2026-06-19,public safety,in_progress,41.3
C00385,W02,2026-06-19,roads,open,46.8
C00386,W02,2026-06-20,noise,closed,23.8
C00387,W02,2026-06-20,roads,in_progress,34.9
C00388,W02,2026-06-20,water,in_progress,34.7
C00389,W02,2026-06-20,sanitation,in_progress,22.3
C00390,W02,2026-06-20,sanitation,open,35.3
C00391,W02,2026-06-20,public safety,closed,25.0
C00392,W02,2026-06-20,public safety,in_progress,59.8
C00393,W02,2026-06-20,noise,open,29.8
C00394,W02,2026-06-20,water,open,34.3
C00395,W02,2026-06-20,noise,closed,42.2
C00396,W02,2026-06-20,public safety,closed,34.0
C00397,W02,2026-06-20,public safety,in_progress,48.7
C00398,W02,2026-06-20,sanitation,closed,35.3
C00399,W02,2026-06-20,electricity,in_progress,38.1
C00400,W02,2026-06-21,sanitation,closed,30.0
C00401,W02,2026-06-21,water,closed,30.4
C00402,W02,2026-06-21,roads,open,48.6
C00403,W02,2026-06-21,sanitation,in_progress,42.0
C00404,W02,2026-06-21,roads,closed,34.8
C00405,W02,2026-06-21,roads,in_progress,15.0
C00406,W02,2026-06-21,public safety,closed,41.0
C00407,W02,2026-06-21,electricity,in_progress,15.8
C00408,W02,2026-06-21,water,closed,23.2
C00409,W02,2026-06-21,sanitation,in_progress,10.2
C00410,W02,2026-06-21,noise,open,13.0
C00411,W02,2026-06-21,public safety,in_progress,38.1
C00412,W02,2026-06-21,roads,in_progress,49.9
C00413,W02,2026-06-22,electricity,closed,47.4
C00414,W02,2026-06-22,noise,open,27.7
C00415,W02,2026-06-22,sanitation,in_progress,40.4
C00416,W02,2026-06-22,sanitation,closed,39.7
C00417,W02,2026-06-22,sanitation,open,54.4
C00418,W02,2026-06-22,noise,open,59.6
C00419,W02,2026-06-22,roads,open,33.3
C00420,W02,2026-06-22,electricity,open,13.0
C00421,W02,2026-06-22,roads,in_progress,21.8
C00422,W02,2026-06-22,roads,closed,62.7
C00423,W02,2026-06-22,roads,open,35.5
C00424,W02,2026-06-22,electricity,in_progress,37.0
C00425,W02,2026-06-22,sanitation,open,28.6
C00426,W02,2026-06-22,sanitation,in_progress,37.6
C00427,W02,2026-06-22,noise,open,25.0
C00428,W02,2026-06-23,public safety,in_progress,39.1
C00429,W02,2026-06-23,electricity,open,34.6
C00430,W02,2026-06-23,noise,closed,19.1
C00431,W02,2026-06-23,electricity,open,25.5
C00432,W02,2026-06-23,electricity,open,37.9
C00433,W02,2026-06-23,public safety,closed,19.6
C00434,W02,2026-06-23,sanitation,open,32.9
C00435,W02,2026-06-23,water,in_progress,29.0
C00436,W02,2026-06-23,public safety,in_progress,38.0
C00437,W02,2026-06-23,sanitation,open,31.5
C00438,W02,2026-06-23,roads,in_progress,42.1
C00439,W02,2026-06-23,electricity,closed,16.0
C00440,W02,2026-06-23,water,closed,23.7
C00441,W02,2026-06-24,electricity,in_progress,32.1
C00442,W02,2026-06-24,sanitation,closed,50.4
C00443,W02,2026-06-24,electricity,closed,48.4
C00444,W02,2026-06-24,roads,in_progress,25.4
C00445,W02,2026-06-24,noise,in_progress,38.0
C00446,W02,2026-06-24,water,in_progress,33.5
C00447,W02,2026-06-24,noise,closed,23.0
C00448,W02,2026-06-24,noise,in_progress,55.4
C00449,W02,2026-06-24,water,open,28.9
C00450,W02,2026-06-24,sanitation,open,40.3
C00451,W02,2026-06-25,public safety,in_progress,41.8
C00452,W02,2026-06-25,electricity,closed,18.5
C00453,W02,2026-06-25,electricity,in_progress,28.1
C00454,W02,2026-06-25,public safety,in_progress,22.4
C00455,W02,2026-06-25,public safety,open,53.6
C00456,W02,2026-06-25,noise,open,31.3
C00457,W02,2026-06-25,electricity,closed,39.7
C00458,W02,2026-06-25,roads,open,54.9
C00459,W02,2026-06-25,noise,closed,19.0
C00460,W02,2026-06-25,electricity,open,52.6
C00461,W02,2026-06-25,water,closed,60.5
C00462,W02,2026-06-25,electricity,closed,30.9
C00463,W02,2026-06-25,public safety,closed,66.8
C00464,W02,2026-06-26,public safety,in_progress,46.0
C00465,W02,2026-06-26,noise,in_progress,37.0
C00466,W02,2026-06-26,noise,open,38.3
C00467,W02,2026-06-26,public safety,in_progress,42.1
C00468,W02,2026-06-26,sanitation,open,32.9
C00469,W02,2026-06-26,sanitation,closed,4.0
C00470,W02,2026-06-26,electricity,open,24.0
C00471,W02,2026-06-26,roads,in_progress,45.8
C00472,W02,2026-06-26,noise,closed,20.0
C00473,W02,2026-06-26,electricity,open,64.8
C00474,W02,2026-06-26,sanitation,open,45.7
C00475,W02,2026-06-26,public safety,open,51.2
C00476,W02,2026-06-26,noise,in_progress,26.5
C00477,W02,2026-06-27,water,in_progress,31.6
C00478,W02,2026-06-27,sanitation,in_progress,58.2
C00479,W02,2026-06-27,water,open,30.6
C00480,W02,2026-06-27,water,closed,55.6
C00481,W02,2026-06-27,public safety,in_progress,48.5
C00482,W02,2026-06-27,electricity,open,39.0
C00483,W02,2026-06-27,sanitation,open,31.9
C00484,W02,2026-06-27,roads,in_progress,44.1
C00485,W02,2026-06-27,noise,in_progress,47.0
C00486,W02,2026-06-27,water,open,46.2
C00487,W02,2026-06-27,roads,in_progress,25.1
C00488,W02,2026-06-28,electricity,closed,36.9
C00489,W02,2026-06-28,public safety,open,29.9
C00490,W02,2026-06-28,water,open,29.5
C00491,W02,2026-06-28,noise,closed,36.4
C00492,W02,2026-06-28,water,closed,18.5
C00493,W02,2026-06-28,noise,open,46.3
C00494,W02,2026-06-28,water,open,43.4
C00495,W02,2026-06-28,electricity,in_progress,33.2
C00496,W02,2026-06-28,public safety,in_progress,58.0
C00497,W02,2026-06-28,roads,in_progress,49.2
C00498,W02,2026-06-28,electricity,in_progress,21.1
C00499,W02,2026-06-28,noise,closed,32.9
C00500,W02,2026-06-29,roads,open,45.7
C00501,W02,2026-06-29,electricity,closed,47.6
C00502,W02,2026-06-29,noise,in_progress,46.0
C00503,W02,2026-06-29,public safety,closed,39.1
C00504,W02,2026-06-29,roads,in_progress,25.6
C00505,W02,2026-06-29,roads,open,16.1
C00506,W02,2026-06-29,public safety,open,20.8
C00507,W02,2026-06-29,roads,closed,11.6
C00508,W02,2026-06-29,electricity,in_progress,35.9
C00509,W02,2026-06-29,public safety,closed,9.4
C00510,W02,2026-06-29,noise,closed,4.0
C00511,W02,2026-06-29,noise,open,20.4
C00512,W02,2026-06-30,public safety,in_progress,40.4
C00513,W02,2026-06-30,noise,closed,17.1
C00514,W02,2026-06-30,sanitation,in_progress,31.2
C00515,W02,2026-06-30,noise,in_progress,35.9
C00516,W02,2026-06-30,sanitation,closed,53.1
C00517,W02,2026-06-30,electricity,closed,14.3
C00518,W02,2026-06-30,electricity,in_progress,17.7
C00519,W02,2026-06-30,public safety,open,39.1
C00520,W02,2026-06-30,water,closed,27.9
C00521,W02,2026-06-30,water,closed,24.9
C00522,W02,2026-06-30,roads,open,10.7
C00523,W02,2026-06-30,noise,closed,42.8
C00524,W02,2026-06-30,sanitation,closed,32.6
C00525,W02,2026-06-30,public safety,in_progress,31.9
C00526,W02,2026-07-01,electricity,open,34.0
C00527,W02,2026-07-01,noise,in_progress,47.1
C00528,W02,2026-07-01,noise,closed,28.2
C00529,W02,2026-07-01,electricity,open,39.9
C00530,W02,2026-07-01,sanitation,in_progress,15.4
C00531,W02,2026-07-01,sanitation,closed,30.0
C00532,W02,2026-07-01,public safety,closed,24.7
C00533,W02,2026-07-01,electricity,open,25.7
C00534,W02,2026-07-01,roads,in_progress,51.0
C00535,W02,2026-07-01,noise,closed,30.6
C00536,W02,2026-07-01,electricity,closed,21.8
C00537,W02,2026-07-01,sanitation,in_progress,16.3
C00538,W02,2026-07-01,noise,open,27.7
C00539,W02,2026-07-01,public safety,closed,45.9
C00540,W02,2026-07-01,public safety,closed,14.8
C00541,W02,2026-07-01,sanitation,closed,27.0
C00542,W02,2026-07-02,sanitation,in_progress,22.6
C00543,W02,2026-07-02,noise,in_progress,67.1
C00544,W02,2026-07-02,roads,open,43.1
C00545,W02,2026-07-02,noise,open,35.0
C00546,W02,2026-07-02,electricity,closed,49.8
C00547,W02,2026-07-02,sanitation,closed,10.0
C00548,W02,2026-07-02,noise,closed,44.3
C00549,W02,2026-07-02,roads,open,45.0
C00550,W02,2026-07-02,public safety,closed,38.1
C00551,W02,2026-07-02,water,open,27.2
C00552,W02,2026-07-02,water,in_progress,30.4
C00553,W02,2026-07-03,water,closed,29.9
C00554,W02,2026-07-03,water,open,57.7
C00555,W02,2026-07-03,electricity,open,25.7
C00556,W02,2026-07-03,water,open,58.7
C00557,W02,2026-07-03,noise,closed,73.2
C00558,W02,2026-07-03,water,in_progress,21.8
C00559,W02,2026-07-03,water,closed,4.0
C00560,W02,2026-07-03,roads,closed,28.7
C00561,W02,2026-07-03,roads,in_progress,50.2
